orgid,pulseid,manager,q1_s,q2_s,q3_s,q4_s,q5_s,q6_s,q7_s,q8_s,q9_s,q10_s,gender,ethnic,los,wave,group,stratum,sector,female_mgr,progress,num_managers,org_nor
esorg101,espulse1048,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Female,British,1,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1049,No,7,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Female,British,8,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1050,No,10,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Female,British,3,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1051,No,10,Agree,Agree,Agree,Don't know,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Female,British,21,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1052,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,British,5,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1053,Yes,8,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Female,British,19,1,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1054,No,1,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Female,British,0,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1055,No,5,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Female,British,13,2,Control,1,101Care,0.8,0.44,55,110
esorg101,espulse1056,No,8,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Male,British,1,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1057,No,10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Strongly Agree,Female,Any other Ethnic Group,9,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1058,No,10,Strongly Agree,Agree,Agree,Don't know,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Female,British,12,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1059,No,9,Agree,Agree,Agree,Neither agree nor disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Female,I do not wish to disclose my ethnic origin,3,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1060,Yes,8,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Female,British,14,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1061,Yes,10,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Female,British,1,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1062,Yes,6,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Female,British,3,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1063,No,10,Strongly Agree,Strongly Agree,Agree,Agree,Don't know,Agree,Agree,Agree,Agree,Female,British,19,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1064,No,10,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Female,British,17,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1065,No,6,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Don't know,Neither agree nor disagree,Agree,Agree,Female,British,19,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1066,No,10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,9,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1067,Yes,8,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Female,British,7,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1068,Yes,9,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Female,British,1,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1069,No,7,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Female,I do not wish to disclose my ethnic origin,8,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1070,No,10,Strongly Agree,Don't know,Agree,Strongly Agree,Strongly Disagree,Neither agree nor disagree,Don't know,Strongly Agree,Strongly Agree,Female,African,1,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1071,No,10,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Female,British,16,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1072,No,8,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,Agree,Agree,Female,British,13,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1073,No,8,Strongly Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly Agree,Disagree,Female,British,16,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1074,Yes,1,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Female,British,10,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1075,No,7,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Don't know,Don't know,Agree,Agree,Female,British,1,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1076,Yes,9,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Female,British,11,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1077,Yes,3,Neither agree nor disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Male,British,9,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1078,Yes,2,Neither agree nor disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Female,British,9,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1079,No,9,Agree,Strongly Agree,Agree,Agree,Disagree,Don't know,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,3,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1080,No,3,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Female,British,14,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1081,No,10,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Female,British,5,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1082,No,10,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Male,I do not wish to disclose my ethnic origin,3,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1083,No,5,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Female,British,16,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1084,No,5,Neither agree nor disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Female,British,6,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1085,Yes,5,Strongly Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Female,British,19,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1086,No,9,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,1,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1087,No,1,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Female,British,15,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1088,No,10,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Female,British,13,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1089,No,5,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Male,British,15,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1090,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Female,British,3,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1091,Yes,1,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Female,Indian,0,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1092,Yes,8,Strongly Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Female,British,1,1,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1093,No,5,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Female,British,11,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1094,No,1,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Female,Other,1,2,Treatment,1,101Care,0.8,0.44,55,110
esorg101,espulse1095,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,2,1,Treatment,1,101Care,0.8,0.44,55,110
esorg102,espulse1096,Yes,10,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Female,British,13,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1097,No,6,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,16,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1098,Yes,9,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,19,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1099,Yes,5,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Female,British,37,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1100,Yes,5,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Agree,Female,British,12,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1101,Yes,7,Strongly Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Female,British,16,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1102,Yes,5,Neither agree nor disagree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Female,British,4,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1103,Yes,4,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Female,British,3,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1104,Yes,5,Agree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Female,British,3,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1105,Yes,10,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Female,British,13,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1106,No,4,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,16,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1107,Yes,1,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,10,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1108,Yes,4,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Female,British,3,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1109,Yes,8,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Female,British,9,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1110,No,8,Agree,Agree,Agree,Agree,Agree,Don't know,Strongly Agree,Strongly Agree,Agree,Female,British,4,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1111,No,10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,1,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1112,Yes,10,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,24,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1113,Yes,5,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Female,British,10,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1114,Yes,10,Strongly Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,22,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1115,Yes,4,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Female,British,6,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1116,No,1,Neither agree nor disagree,Disagree,Strongly Disagree,Don't know,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Disagree,Female,I do not wish to disclose my ethnic origin,2,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1117,Yes,6,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Female,British,16,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1118,Yes,1,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Female,I do not wish to disclose my ethnic origin,31,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1119,Yes,5,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Female,British,32,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1120,Yes,4,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Disagree,Other,I do not wish to disclose my ethnic origin,1,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1121,Yes,10,Strongly Agree,Agree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Female,British,24,2,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1122,No,10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,British,5,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1123,Yes,3,Agree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Female,British,5,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1124,No,4,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Female,British,1,1,Control,1,102Housing association,0.91,0.71,160,700
esorg102,espulse1125,No,6,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Female,British,7,1,Control,1,102Housing association,0.91,0.71,160,700
